m_items,model,time
100,knn,70.67115998268127
200,knn,265.57016921043396
500,knn,1205.441705942154
100,hybrid,118.75800585746765
200,hybrid,614.0431461334229
500,hybrid,4667.117563009262
100,mf,42.76674008369446
200,mf,111.31398296356201
500,mf,274.4863519668579
