m_items,model,mae
100,knn,0.7098449767335077
200,knn,0.6922333230138148
500,knn,0.6732102591530517
100,hybrid,0.6681598362649148
200,hybrid,0.6632403209950519
500,hybrid,0.6621777528025973
100,mf,0.6108757180486254
200,mf,0.6026635514950814
500,mf,0.6014354083179619
